ocel_event_id;ocel_object_id;ocel_qualifier
unload_truck_cr16_assign;fl2;candidate_object
unload_truck_cr16_assign;fl1;assigned_object
unload_truck_cr16_assign;loc_Terminal_North;location
14576_leave_Loading Bay_fl1;fl1;moved_object
14576_leave_Loading Bay_fl1;loc_Loading_Bay;location
14577_enter_Terminal North_fl1;fl1;moved_object
14577_enter_Terminal North_fl1;loc_Terminal_North;location
unload_truck_cr16_start;cr16;CR unloaded
unload_truck_cr16_start;tr6;TR unloaded
unload_truck_cr16_start;fl1;FL unloading
unload_truck_cr16_complete;cr16;CR unloaded
unload_truck_cr16_complete;tr6;TR unloaded
unload_truck_cr16_complete;fl1;FL unloading
weigh_cr16_start;cr16;CR weighted
weigh_cr16_start;fl1;FL weighing
14578_leave_Terminal North_tr6;tr6;moved_object
14578_leave_Terminal North_tr6;loc_Terminal_North;location
14579_enter_Truck Depot_tr6;tr6;moved_object
14579_enter_Truck Depot_tr6;loc_Truck_Depot;location
weigh_cr16_complete;cr16;CR weighted
weigh_cr16_complete;fl1;FL weighing
14580_leave_Terminal North_fl1;fl1;moved_object
14580_leave_Terminal North_fl1;loc_Terminal_North;location
14581_leave_Terminal North_cr16;cr16;moved_object
14581_leave_Terminal North_cr16;loc_Terminal_North;location
14582_enter_Storage_fl1;fl1;moved_object
14582_enter_Storage_fl1;loc_Storage;location
14583_enter_Storage_cr16;cr16;moved_object
14583_enter_Storage_cr16;loc_Storage;location
place_stock_cr16_complete;cr16;CR stored
place_stock_cr16_complete;fl1;FL moved
arr_notice_cr12;tr4;TR arrival notice
arr_notice_cr12;cr12;CR arrival notice
14584_enter_Terminal North_tr4;tr4;moved_object
14584_enter_Terminal North_tr4;loc_Terminal_North;location
14585_enter_Terminal North_cr12;cr12;moved_object
14585_enter_Terminal North_cr12;loc_Terminal_North;location
drive_term_cr12_complete;cr12;CR moved
drive_term_cr12_complete;tr4;TR moved
unload_truck_cr12_assign;cr12;CR unload allocated
unload_truck_cr12_assign;tr4;TR unload allocated
unload_truck_cr12_assign;fl3;candidate_object
unload_truck_cr12_assign;fl2;candidate_object
unload_truck_cr12_assign;fl1;candidate_object
